,Group,Sence,Text
0,транспорт,плохо,На 8 Марта трамваи стоят в пробке вместе с остальными участниками движения... Видео от [id7059751|Дмитрия]
1,благоустройство,плохо,"Написали в Администрацию города жалобу, про скользкий тротуар на Ленина, получили гениальный ответ!! 😇☺"
3,транспорт,плохо,"Невероятные приключения остановки в Екатеринбурге! В 2010 администрация без объяснений перенесла автобусную остановку Дом Кино подальше от трамвайной за Мамина-Сибиряка. Скорее всего, это было связано с предположением, что построится Opera Tower с большим потоком людей. Opera Tower так и не построился.  В 2018 г. администрация начала задумываться, что неплохо бы вернуть остановку назад. И в начале 2019 г.-таки поставила новый навес на старом месте напротив Малышева 61. Поставила слишком близко к проезжей части и так и не обязала транспорт останавливаться в новом месте. Навес постепенно обрастал рекламными афишами и рекламой с сайтами наркотиков, администрация даже никак не уточняла на самой остановке, почему она не работает. Не раз видели там людей, не понимающих, почему транспорт проезжает остановку. После нашего обращения навес отодвинули подальше от проезжей части. И вот 4 декабря администрация пишет на своём сайте, что для улучшения транспортного обслуживания остановка будет напротив Малышева 63. Только это метров за 50 ДО того места, где установлен новый навес. И этот день наступает завтра 7 декабря. Вот только ни на старой ни на новой остановке нет ни одного объявления для пассажиров, что с субботы на этом месте транспорт перестанет останавливаться, а вот на этом начнёт. Ну и автомобилисты совсем не в курсе рядом с Малышева 63 и 61 всё запарковано. Хотя им, наверно, плевать на остановки, вот рядом с Мамина-Сибиряка есть же такой зачётный киоск с шавухой, можно же бросить тачки прям на остановке с аварийкой и пойти выбирать, что там вкусненького. Наверно, нельзя винить администрацию, ведь у них было всего чуть больше полутора лет, чтобы успеть перенести остановку? Горожане же могут сами распечатать объявления и повесить их на остановки. Как считаете? https://www.e1.ru/news/spool/news_id-333651.html https://www.e1.ru/news/spool/news_id-54304671.html https://66.ru/news/society/218512/ http://www.ekburg.ru/news/2/77969-gorodskie-vlasti-peredvinut-ostanovku-dom-kino-dlya-udobstva-ekaterinburzhtsev/"
4,транспорт,плохо,"Как одна остановка незаметно передвинулась.  Есть в Екатеринбурге остановке «Кунарская». Стоял на ней старый навес (фото 1), но мэрия решила его обновить (фото 2). Подрядчик его поставил близко к дороге и закрыл им знак остановки (фото 3). Увидев это, чиновники решили переставить знак по другую сторону навеса (фото 4). Теперь остановка перенесена на 10 м, но по-прежнему остаётся слишком узкой."
5,благоустройство,плохо,"Испугавшись штрафов, при укладке шикарного гранита на Малышева, видать, решили сэкономить на материале.   Сколько нам Высокинский обещал эту плитку не перекладывать? 25 лет любоваться будем? 30?"
6,благоустройство,хорошо,"Слишком часто пандусы делают на отвали, наверно, потому, что пандус делают здоровые мужики, которые вообще не понимают, зачем нужна вся эта фигня. Вот и на Луначарского 53 пандус давным давно сделали так, что он фактически заканчивался ступенькой и практически все объезжали его по земле, вытаптывая газон. Благодаря администрации Железнодорожного района в этом году пандус спрямили и сделали одинаковый угол наклона по всей длине. К сожелаению, работы были завершены в минусовые температуры и остается только надеяться, что смонтированная конструкция простоит долго."
7,транспорт,ужасно,Мэрия Екатеринбурга отказалась обособлять трамвайные пути по улице Луначарского  Посмотрите на видео какой ад там творится ежедневно и тысячи пассажиров трамваев вынуждены стоять в одной пробке с несколькими десятками автомобилистов.
8,благоустройство,плохо,"В 2020 г. будут проведены работы по устранению скопления воды в районе лестничного марша по адресу: ул. Тургенева, 15. В 2021 г. возможно внесут в планы - благоустройство тротуара по адресу: ул. Первомайская, 24В."
9,СПАМ,нейтрально,А в Москве уже полный коммунизм. Когда на нашей улице будет праздник?
10,благоустройство,плохо,"В конце прошлого года спешным авралом в снег ставились 20 новых навесов на автобусных остановках. Представители комитета по транспорту подписали акты приёмки-передачи без замечаний. Мы обратили внимание, что большая часть этих навесов установлена слишком близко к проезжей части и является небезопасными. После наших обращений комитет по транспорту согласился с тем, что их надо переносить, включил работы по переносу этих остановок в большой контракт 2019 г. и перенёс все близко установленные навесы подальше от проезжей части. Работы были оплачены разным подрядным организациям дважды: 1) при первоначальном монтаже и 2) при переносе. О каких-либо мерах дисциплинарного взыскания к сотрудникам администрации, принявших первые работы, нам неизвестно. http://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=3666100466118000122 http://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=3667128149519000031"
11,транспорт,нейтрально,У каких автобусных маршрутов вы бы изменили частоту рейсов?
12,благоустройство,нейтрально,Сегодня у гостиницы Исеть увидела следующую картину: неровно уложенную плитку просто чем-то спилили 😳 может Вы знаете можно так делать или нет?
13,транспорт,плохо,"Комитет по транспорту мэрии Екатеринбурга прислал какую то потрясающую отписку  Якобы администрация не может установить пониженные тарифы на проезд для детей из-за федерального и областного законодательства и сами же приводят выдержки из закона, где установлен предельный МАКСИМАЛЬНЫЙ тариф в 32 рубля. Это значит что стоимость проезда выше 32 рублей для детей мэрия установить не сможет при всём желании. А вот ниже пожалуйста. Ведь проезд наземным транспортом у нас стоит 28 рублей. Да и речь то мы завели не о стоимости одной поездки а о стоимости месячных проездных.  Напомню, что тем временем в Москве стоимость проездных для детей составляет всего 655 рублей (метро + наземный транспорт), а в Питере — 515. А в Екатеринбурге выходит 1500-2000 рублей на одного ребенка в месяц 😡  Обновлено: нашли окончание ответа: ""с правительством Свердловской области прорабатывается вопрос изменения в тарифные планы"".  Что-то уже думают в этом направлении, но что планируют, народу не расскажут - ""не положено""!"
14,благоустройство,ужасно,Новую плитку на Ленина чистят вместе с газоном🙈 ещё и техника на газоне разворачивается 😩
15,транспорт,ужасно,"Экран на Куйбышева. Банк писал, что уменьшил яркость, но что-то незаметно"
16,благоустройство,плохо,"Просьба поспособствовать установке оградительного забора вокруг газона дома. Летом часто ставятся машины прямо под окна, либо газон используют как место для манёвра (когда кому-то нужно разъехаться или развернуться). Как итог - газон летом больше напоминает высохшую пыльную лужу, садить что-то или разбивать газон - бесполезно. Так же вдоль дома отсутствует какая-либо тратуарная дорожка. Проезд очень узкий и людям нет возможности уступить дорогу автомобилю, кроме как встать на газон. Адрес: ул.Предельная, дом 16 ."
17,транспорт,ужасно,"Видите знак, показывающий куда с какой полосы ехать? Нет? А он есть. Спасибо тем людям, которые устанавливали яркость рекламного экрана - благодаря им с правой полосы на перекрестке Малышева / 8 марта (со стороны Малышева из центра) невозможно узнать, поворачивать с этой полосы направо или прямо ехать тоже можно. Или может только прямо? Если не знаешь, то и не узнаешь. Едь наобум и надейся что не нарушаешь.  Предлагаю заспамить Роспотребнадзор жалобами на этот рекламный щит.  Кстати, как дела с тем щитом на Куйбышева?"
19,СПАМ,нейтрально,Борьба с рекламой в Кировском районе☺
20,транспорт,плохо,"Летом, после наших многочисленных жалоб и требований защитить тротуар от парковки автомобилей, установили забор на между тротуаром и дорогой у домов 16 и 18 по улице Карла Либкнехта  Конечно, мы просили установить столбики, которые не препятствовали бы выходу из авто и выглядели бы более эстетично, но установка антипарковочных столбиков это пока что неисследованная высокая технология для мэрии Екатеринбурга.  Пусть пока так, но сегодня тротуар здесь полностью принадлежит пешеходам, а мы рано или поздно все равно заменим все эти уродские заборы на столбики 😼"
21,благоустройство,ужасно,"В конце 2017 к чемпионату мира по футболу отремонтировали и переделали площадь у Дворца Молодёжи. Этим летом мы обнаружили, что часть высаженных яблонь засохла, бетонные блоки из ступенек выломаны. Удивительным оказалось другое: Комитет благоустройства г. Екатеринбурга оказался некомпетентен в этом вопросе и переслал обращение тому, кто этим никогда не занимался. С помощью мягкой силы Прокуратуры, удалось узнать, что заказчиком работ выступало Управление капительного строительства Свердловской области. Исполнителем работ оказалось то же ООО ""Лев"", которое сделало кривую плитку на набережной городского пруда и которому по этому поводу администрация города продолжает строчить претензии. Стоимость всех строительных работ в 2017 составила скромные 116 млн. руб. Но самой приятной вишенкой, оказалось то, что гарантия на работы 5 лет, и УКС сказало, что направило письма подрядчику и что всё-всё должно быть устранено. Что же, будем посмотреть, и до ноября 2022 г. можно будет по всем недоделкам и поломкам в парке у Дворца молодежи писать обращения!."
22,благоустройство,плохо,"В Дендропарке перед Гринвичем тоже пластиковые потрескавшиеся фонари вместо чугунных. Похоже, это новый тренд у Администрации города"
24,благоустройство,плохо,"Больше года потребовалось на то, чтобы засыпать яму, образовавшуюся от демонтажа фундамента незаконной рекламы, на перекрёстке Луначарского-Шевченко. Ну и ремонт труб на Шевченко почти всё лето сыграл в этом негативную роль."
25,благоустройство,хорошо,"В летний период 2020 года будут выполнены работу по понижению бортового камня по адресу: Студенческая, д. 39."
26,благоустройство,хорошо,"В 2020 году будут заменены сломанные урны по адресу: ул. Репина, д. 2 возле Центрального стадиона."
27,жкх,отлично,"После жалобы был приведён в нормативное состояние канализационный люк по адресу: Тургенева, д.4."
28,транспорт,плохо,"Мы давно призываем городские власти обособить все трамвайные линии в городе от автомобильных дорог. Это исключит пробки из автомобилей на трамвайных путях и позволит ускорить трамвайное движение в городе. Пассажиры трамваев смогут даже в часы пик беспрепятственно и быстро перемещаться по городу! 🚈  Посмотрите на видео это пробка на трамвайных путях на улице Луначарского 😕 Разве это нормально? НЕТ! Автомобили не должны мешать передвижению общественного транспорта, просто потому что во всех автомобилях в заторе сидит максимум несколько десятков человек, а в 4-5 вагонах трамвая под полтысячи людей! Логично, что несколько десятков человек в автомобилях должны уступить дорогу сотням людей в трамваях.  Давайте все вместе попросим мэрию Екатеринбурга отделить трамвайные пути на Луначарского от автомобильной дороги!  Образец обращения:  На улице Луначарского на участке от ул. Малышева до ул. Куйбышева с постоянной периодичностью в часы пик наблюдаются автомобильные заторы на трамвайных путях, что препятствует свободному движению трамваев на данном участке.    Прошу рассмотреть возможность включения в планы на 2020-2021 годы физического обособления бордюрами трамвайных путей по ул Луначарского на участке от ул Малышева до ул. Куйбышева.  Электронная приёмная администрации Екатеринбурга: Екатеринбург.рф  Максимальный репост! 😈"
30,СПАМ,нейтрально,Поздравляем екатеринбургский трамвай с 90-летием! УРА!
31,жкх,хорошо,"По нашей жалобе восстановлена несущая стена в арке жилого дома на Рассветной 13 на ЖБИ  Если в вашем доме что-то разрушается или протекает, а управляющая компания ничего не предпринимает для ремонта, то сразу же отправляйте жалобу через наше приложение ""Гражданский патруль"" https://play.google.com/store/apps/details?id=com.punicapp.citypatrol&hl=ru https://apps.apple.com/ru/app/grazdanskij-patrul/id1079790780?l=en  Инструкция: 1. Установка и регистрация. В случае если вам не пришел код для регистрации в системе напишите в сообщения группы https://vk.com/civilpatrol 2. В окне ""Тип жалобы"" нужно выбрать пункт наиболее подходящий по смыслу к вашей проблеме. 3. В разделе «Комментарий» подробно опишите суть проблемы. 4. Укажите точный адрес или наиболее близкое здание, а в комментариях опишите, как найти необходимое место. Также можно оставлять координаты широты и долготы (для свалок мусора в парках и лесах). 5. Добавьте фотографии. Если фотографий много то после отправки жалобы остальные фотографии можно отправить в сообщения группы https://vk.com/civilpatrol с указанием номера жалобы. 6. Нажмите кнопку «Создать».  Готово. Вы восхитительны! Теперь нужно ждать ответа от чиновников (обычно месяц, ответ придёт в приложение) и следить как меняется ситуация по вашей проблеме."
32,благоустройство,плохо,"На Химмаше только благоустроили тротуары и обновили газоны, и тут же приехал убирать снег доблестный тракторист из Чкаловского ДЭУ, чтобы всё привести в ""надлежащее"" состояние. Куда направлять жалобу не знаю, так как администрация Чкаловского района наверняка ничего, исходя из опыта, делать не будет..."
33,СПАМ,нейтрально,"В пятницу в Екатеринбург прилетает руководитель Гражданского патруля Ростислав Антонов - создатель нашего приложения для отправки жалоб.  Кому интересно встретиться, пообщаться в пятницу в 18.30 приходите на Химиков 3 в кафе Бабушка-Маруся."
34,благоустройство,плохо,"На Куйбышева-Белинского Синара повесила гигантский слепящий экран, затрудняет вождение."
35,благоустройство,плохо,"Помните новость про сквер, где поставили фонари, которые не горят? Так вот пару недель они поработали и вот опять:). А мне, наверно ""больше всех надо"", ""тоже мне умный нашёлся""... (кольцо Ясная Бадина, до кдц дружбы и дальше)"
36,благоустройство,хорошо,"Многие, наверно, помнят некрасивую историю с частным музеем камня, который в 2015 г. выгнали из здания гостиницы Большой Урал? Для борьбы с музеем собственники (а здание в федеральной собственности) установили уродливый бетонный забор, причём на земле общего пользования. И вот, несмотря на полученный ответ, что забор установлен с целью безопасности, его больше нет."
37,жкх,хорошо,"Водоканал привёл в надлежащее состояние люк на Хохрякова 104, и ему на это понадобилось всего лишь 5 месяцев. Рядом парк Зелёная роща, стадион Юность, но если что, то виноваты пешеходы, которые не смотрят под ноги"
38,транспорт,плохо,"Вместе с тем нам отказали в переносе за поворот трамвайной остановки ""Дом Художника"" 😡 но мы продолжим бороться за безопасность пассажиров общественного транспорта Екатеринбурга!  Посмотрите видео с остановки ""Дом Художника"" и оцените насколько там опасно. Чиновники почему то в упор видят никакой опасности."
39,транспорт,хорошо,"УРААААААААА!  Реконструкцию трамвайной остановки Шарташская (в обе стороны) включат в планы на 2020-2021 годы. На остановках построят посадочные площадки, а значит уже через несколько лет остановка станет гораздо более безопасной для пассажиров трамваев чем сегодня!"
40,благоустройство,плохо,"Фасад бывшего института на Луначарского 31 очистили от граффити. Ну как очистили - замазали ещё одним слоем краски и получившийся серый холст аж тянет и зовёт нарисовать на нём что-нибудь ещё. А ведь на самом деле фасад облицован толстыми гранитными плитами, у которых эстетическая привлекательность больше самой дешёвой краски..."
42,благоустройство,отлично,"И вот по-настоящему редкое, но приятное событие в нашем городе: в сохранившийся земляной стакан на Мамина-Сибиряка (рядом с Шевченко) посадили новое дерево, а не закатали это место в асфальт. Остаётся надеяться, чтобы хорошо прижилось. Глядишь, и научатся приствольное пространство делать, чтобы свежую почву не вымывало дождями"
43,СПАМ,нейтрально,"С троллейбусом что-то не так. Очень похоже, что он поедает плитку. 😊"
44,транспорт,хорошо,"Исправлено название остановки на текущее: с Короленко на Протезно-ортопедическое предприятие... P.S. Вывеску Продукты тоже исправляли, но она снова быстро отвалилась"
45,благоустройство,плохо,"Перекресток Победы- Индустрии, в этом году дорогу по улице Индустрии ремонтировали.. в итоге ливневка находиться по уровню выше чем часть дороги и в дождь на дороге вот так((  Отправляйте жалобы на проблемы вашей улицы через наше приложение ""Гражданский патруль""  https://play.google.com/store/apps/details?id=com.punicapp.citypatrol&hl=ru https://apps.apple.com/ru/app/grazdanskij-patrul/id1079790780?l=en   Инструкция:  1. Установка и регистрация. В случае если вам не пришел код для регистрации в системе напишите в сообщения группы https://vk.com/civilpatrol  2. В окне ""Тип жалобы"" нужно выбрать пункт наиболее подходящий по смыслу к вашей проблеме.  3. В разделе «Комментарий» подробно опишите суть проблемы.  4. Укажите точный адрес или наиболее близкое здание, а в комментариях опишите, как найти необходимое место. Также можно оставлять координаты широты и долготы (для свалок мусора в парках и лесах).  5. Добавьте фотографии. Если фотографий много то после отправки жалобы остальные фотографии можно отправить в сообщения группы https://vk.com/civilpatrol с указанием номера жалобы.  6. Нажмите кнопку «Создать».    Готово. Вы восхитительны! Теперь нужно ждать ответа от чиновников (обычно месяц, ответ придёт в приложение) и следить как меняется ситуация по вашей проблеме."
46,благоустройство,плохо,Сегодня нашего волонтёра чуть не покалечила штукатурка обвалившаяся с фасада дома 137 по улице Мамина- Сибиряка. Это самый центр - между Первомайской и Ленина.  Готовим жалобу. Если вы заметили что где-то также обваливается штукатурка с фасада или осыпаются балконы - скидывайте фото нам!
47,СПАМ,нейтрально,Когда долго нет автобуса.
